iter	Passed	Remaining
912	36082	3438
913	36118	3398
914	36152	3358
915	36186	3318
916	36222	3278
917	36258	3238
918	36295	3199
919	36329	3159
920	36362	3119
921	36394	3078
922	36429	3039
923	36466	2999
924	36506	2959
925	36541	2920
926	36580	2880
927	36612	2840
928	36644	2800
929	36677	2760
930	36711	2720
931	36745	2681
932	36778	2641
933	36811	2601
934	36843	2561
935	36880	2521
936	36913	2481
937	36945	2442
938	36977	2402
939	37011	2362
940	37043	2322
941	37075	2282
942	37108	2243
943	37141	2203
944	37174	2163
945	37208	2123
946	37243	2084
947	37277	2044
948	37313	2005
949	37345	1965
950	37375	1925
951	37409	1886
952	37442	1846
953	37474	1806
954	37505	1767
955	37540	1727
956	37571	1688
957	37604	1648
958	37644	1609
959	37680	1570
960	37719	1530
961	37754	1491
962	37788	1451
963	37821	1412
964	37853	1372
965	37886	1333
966	37918	1294
967	37957	1254
968	37987	1215
969	38020	1175
970	38053	1136
971	38086	1097
972	38120	1057
973	38153	1018
974	38185	979
975	38215	939
976	38246	900
977	38277	861
978	38309	821
979	38339	782
980	38372	743
981	38402	703
982	38435	664
983	38466	625
984	38497	586
985	38533	547
986	38566	507
987	38599	468
988	38632	429
989	38665	390
990	38698	351
991	38732	312
992	38766	273
993	38800	234
994	38835	195
995	38867	156
996	38899	117
997	38934	78
998	38969	39
999	39001	0
